Sample,X_train_1,X_train_2,y_train
1,2.234441139170168,0.0,0.0
2,2.234441139170168,1.0,0.0
3,0.1940064997638058,0.0,0.0
4,0.1940064997638058,1.0,0.0
5,0.3548329623141852,0.0,0.0
6,0.3548329623141852,1.0,0.0
7,1.189871496705988,0.0,0.0
8,1.189871496705988,1.0,0.0
9,1.593862721806566,0.0,0.0
10,1.593862721806566,1.0,0.0
11,0.03186880168098137,0.0,0.0
12,0.03186880168098137,1.0,0.0
13,0.8695428419971902,0.0,0.0
14,0.8695428419971902,1.0,0.0
15,0.5732259892176443,0.0,0.0
16,0.5732259892176443,1.0,0.0
17,0.5214566115469665,0.0,0.0
18,0.5214566115469665,1.0,0.0
19,1.270782697560655,0.0,0.0
20,1.270782697560655,1.0,0.0
21,0.8192042581911194,0.0,0.0
22,0.8192042581911194,1.0,0.0
23,0.7962086295423741,0.0,0.0
24,0.7962086295423741,1.0,0.0
25,0.654611384550654,0.0,0.0
26,0.654611384550654,1.0,0.0
27,1.000796100996276,0.0,0.0
28,1.000796100996276,1.0,0.0
29,1.9717621845193065,0.0,0.0
30,1.9717621845193065,1.0,0.0
31,2.3464810868795256,0.0,0.0
32,2.3464810868795256,1.0,0.0
33,1.3359750218592672,0.0,0.0
34,1.3359750218592672,1.0,0.0
35,0.6751425394105138,0.0,0.0
36,0.6751425394105138,1.0,0.0
37,1.001837437076634,0.0,0.0
38,1.001837437076634,1.0,0.0
39,2.268747345955165,0.0,0.0
40,2.268747345955165,1.0,0.0
41,0.7309299843706265,0.0,0.0
42,0.7309299843706265,1.0,0.0
43,0.09332186931179615,0.0,0.0
44,0.09332186931179615,1.0,0.0
45,0.4155218412057368,0.0,0.0
46,0.4155218412057368,1.0,0.0
47,1.493505808180395,0.0,0.0
48,1.493505808180395,1.0,0.0
49,2.453623962059897,0.0,0.0
50,2.453623962059897,1.0,0.0
51,0.731665973105762,0.0,0.0
52,0.731665973105762,1.0,0.0
53,0.7161572078409524,0.0,0.0
54,0.7161572078409524,1.0,0.0
55,1.64123161995128,0.0,0.0
56,1.64123161995128,1.0,0.0
57,2.0792315566226245,0.0,0.0
58,2.0792315566226245,1.0,0.0
59,1.181702528628377,0.0,0.0
60,1.181702528628377,1.0,0.0
61,1.1612716471559899,0.0,0.0
62,1.1612716471559899,1.0,0.0
63,2.128333615072614,0.0,0.0
64,2.128333615072614,1.0,0.0
65,2.0527191850305595,0.0,0.0
66,2.0527191850305595,1.0,0.0
67,1.914798298205229,0.0,0.0
68,1.914798298205229,1.0,0.0
69,0.32306129188064275,0.0,0.0
70,0.32306129188064275,1.0,0.0
71,0.10514002220746542,0.0,0.0
72,0.10514002220746542,1.0,0.0
73,0.515047196252455,0.0,0.0
74,0.515047196252455,1.0,0.0
75,1.8657730772617493,0.0,0.0
76,1.8657730772617493,1.0,0.0
77,0.9754514340071043,0.0,0.0
78,0.9754514340071043,1.0,0.0
79,1.691119957213383,0.0,0.0
80,1.691119957213383,1.0,0.0
81,0.666508426269144,0.0,0.0
82,0.666508426269144,1.0,0.0
83,0.45837910017598305,0.0,0.0
84,0.45837910017598305,1.0,0.0
85,1.8860540817585838,0.0,0.0
86,1.8860540817585838,1.0,0.0
87,2.49391660077916,0.0,0.0
88,2.49391660077916,1.0,0.0
89,0.3470501644992031,0.0,0.0
90,0.3470501644992031,1.0,0.0
91,0.42832751170534095,0.0,0.0
92,0.42832751170534095,1.0,0.0
93,0.04547864978758239,0.0,0.0
94,0.04547864978758239,1.0,0.0
95,0.4520248295333293,0.0,0.0
96,0.4520248295333293,1.0,0.0
97,1.9472766736238958,0.0,0.0
98,1.9472766736238958,1.0,0.0
99,1.598403336763121,0.0,0.0
100,1.598403336763121,1.0,0.0
101,2.1013922860485708,0.0,0.0
102,2.1013922860485708,1.0,0.0
103,1.2829761064204435,0.0,0.0
104,1.2829761064204435,1.0,0.0
