Sample;X_train_1;X_train_2;y_train
1;1.575061911;0;0
2;1.575061911;1;0
3;1.041538349;0;0
4;1.041538349;1;0
5;0.263766664;0;0
6;0.263766664;1;0
7;2.219018988;0;0
8;2.219018988;1;0
9;0.541329702;0;0
10;0.541329702;1;0
11;0.90262443;0;0
12;0.90262443;1;0
13;1.894818327;0;0
14;1.894818327;1;0
15;2.078310852;0;0
16;2.078310852;1;0
17;1.323393817;0;0
18;1.323393817;1;0
19;2.378057053;0;0
20;2.378057053;1;0
21;0.768408403;0;0
22;0.768408403;1;0
23;1.457777348;0;0
24;1.457777348;1;0
25;0.571900625;0;0
26;0.571900625;1;0
27;0.198757709;0;0
28;0.198757709;1;0
29;0.302959315;0;0
30;0.302959315;1;0
31;2.026038927;0;0
32;2.026038927;1;0
33;0.697443326;0;0
34;0.697443326;1;0
35;0.101136683;0;0
36;0.101136683;1;0
37;1.94328926;0;0
38;1.94328926;1;0
39;2.396216358;0;0
40;2.396216358;1;0
41;1.352690431;0;0
42;1.352690431;1;0
43;0.153191154;0;0
44;0.153191154;1;0
45;0.63710053;0;0
46;0.63710053;1;0
47;2.387601729;0;0
48;2.387601729;1;0
49;1.630659201;0;0
50;1.630659201;1;0
51;1.913305156;0;0
52;1.913305156;1;0
53;1.938986741;0;0
54;1.938986741;1;0
55;2.377723802;0;0
56;2.377723802;1;0
57;2.405279219;0;0
58;2.405279219;1;0
59;0.996991864;0;0
60;0.996991864;1;0
61;1.664995385;0;0
62;1.664995385;1;0
63;0.410015011;0;0
64;0.410015011;1;0
65;1.017431133;0;0
66;1.017431133;1;0
67;0.123779196;0;0
68;0.123779196;1;0
69;0.770145767;0;0
70;0.770145767;1;0
71;0.829072416;0;0
72;0.829072416;1;0
73;0.506359627;0;0
74;0.506359627;1;0
75;1.118498706;0;0
76;1.118498706;1;0
77;0.505976967;0;0
78;0.505976967;1;0
79;1.81164;0;0
80;1.81164;1;0
81;0.86280109;0;0
82;0.86280109;1;0
83;1.223336753;0;0
84;1.223336753;1;0
85;0.587671005;0;0
86;0.587671005;1;0
87;2.186275098;0;0
88;2.186275098;1;0
89;2.291040794;0;0
90;2.291040794;1;0
91;0.874442193;0;0
92;0.874442193;1;0
93;0.67738009;0;0
94;0.67738009;1;0
95;2.158130749;0;0
96;2.158130749;1;0
97;0.882801678;0;0
98;0.882801678;1;0
99;1.519321459;0;0
100;1.519321459;1;0
101;1.0020737;0;0
102;1.0020737;1;0
103;0.401466117;0;0
104;0.401466117;1;0
105;2.326512814;0;0
106;2.326512814;1;0
107;0.216281924;0;0
108;0.216281924;1;0
109;0.554575607;0;0
110;0.554575607;1;0
111;0.932165344;0;0
112;0.932165344;1;0
113;0.688095733;0;0
114;0.688095733;1;0
115;0.871089978;0;0
116;0.871089978;1;0
117;1.969707818;0;0
118;1.969707818;1;0
119;0.161810534;0;0
120;0.161810534;1;0
121;1.354849033;0;0
122;1.354849033;1;0
123;0.882052952;0;0
124;0.882052952;1;0
125;2.343760164;0;0
126;2.343760164;1;0
127;1.345351727;0;0
128;1.345351727;1;0
129;2.267340351;0;0
130;2.267340351;1;0
131;1.574899017;0;0
132;1.574899017;1;0
133;1.49874512;0;0
134;1.49874512;1;0
135;2.065231576;0;0
136;2.065231576;1;0
137;1.200537483;0;0
138;1.200537483;1;0
139;2.015033801;0;0
140;2.015033801;1;0
141;1.38671318;0;0
142;1.38671318;1;0
143;2.435954801;0;0
144;2.435954801;1;0
145;0.398817827;0;0
146;0.398817827;1;0
147;0.563458519;0;0
148;0.563458519;1;0
149;0.325031303;0;0
150;0.325031303;1;0
151;1.550912233;0;0
152;1.550912233;1;0
153;0.577141155;0;0
154;0.577141155;1;0
155;2.104473894;0;0
156;2.104473894;1;0
157;0.574385664;0;0
158;0.574385664;1;0
159;1.730934689;0;0
160;1.730934689;1;0
161;0.811288593;0;0
162;0.811288593;1;0
163;2.010527937;0;0
164;2.010527937;1;0
165;1.139160147;0;0
166;1.139160147;1;0
167;0.525412898;0;0
168;0.525412898;1;0
169;1.598792788;0;0
170;1.598792788;1;0
171;1.684120768;0;0
172;1.684120768;1;0
173;1.572349097;0;0
174;1.572349097;1;0
175;2.463794375;0;0
176;2.463794375;1;0
177;0.568111254;0;0
178;0.568111254;1;0
179;1.257250456;0;0
180;1.257250456;1;0
181;2.150811056;0;0
182;2.150811056;1;0
183;2.410077337;0;0
184;2.410077337;1;0
185;1.435643722;0;0
186;1.435643722;1;0
187;0.236429234;0;0
188;0.236429234;1;0
189;0.561719648;0;0
190;0.561719648;1;0
191;1.305482326;0;0
192;1.305482326;1;0
193;0.652240095;0;0
194;0.652240095;1;0
195;2.106597059;0;0
196;2.106597059;1;0
197;2.048323946;0;0
198;2.048323946;1;0
199;0.003590253;0;0
200;0.003590253;1;0
201;2.480739653;0;0
202;2.480739653;1;0
203;1.273863552;0;0
204;1.273863552;1;0
205;1.896687052;0;0
206;1.896687052;1;0
207;1.258962228;0;0
208;1.258962228;1;0
209;1.87487162;0;0
210;1.87487162;1;0
211;0.646275568;0;0
212;0.646275568;1;0
213;2.299165737;0;0
214;2.299165737;1;0
215;0.747358724;0;0
216;0.747358724;1;0
217;0.096823042;0;0
218;0.096823042;1;0
219;1.675116068;0;0
220;1.675116068;1;0
221;1.299955167;0;0
222;1.299955167;1;0
223;1.515983313;0;0
224;1.515983313;1;0
225;0.546384332;0;0
226;0.546384332;1;0
227;1.95617753;0;0
228;1.95617753;1;0
229;0.135771374;0;0
230;0.135771374;1;0
231;0.476033681;0;0
232;0.476033681;1;0
233;1.118997897;0;0
234;1.118997897;1;0
235;1.200784234;0;0
236;1.200784234;1;0
237;1.392420434;0;0
238;1.392420434;1;0
239;2.378769516;0;0
240;2.378769516;1;0
241;0.327447741;0;0
242;0.327447741;1;0
243;1.31038778;0;0
244;1.31038778;1;0
245;0.796338517;0;0
246;0.796338517;1;0
247;0.658668634;0;0
248;0.658668634;1;0
249;1.465189614;0;0
250;1.465189614;1;0
251;0.318065114;0;0
252;0.318065114;1;0
253;1.627519467;0;0
254;1.627519467;1;0
255;1.396321549;0;0
256;1.396321549;1;0
257;1.368744435;0;0
258;1.368744435;1;0
259;0.830861444;0;0
260;0.830861444;1;0
261;2.02089847;0;0
262;2.02089847;1;0
263;1.04973447;0;0
264;1.04973447;1;0
265;1.003024779;0;0
266;1.003024779;1;0
267;0.402523213;0;0
268;0.402523213;1;0
269;1.6556863;0;0
270;1.6556863;1;0
271;2.160668597;0;0
272;2.160668597;1;0
273;0.387777298;0;0
274;0.387777298;1;0
275;1.394278363;0;0
276;1.394278363;1;0
277;0.52932135;0;0
278;0.52932135;1;0
279;1.027735554;0;0
280;1.027735554;1;0
281;0.09356717;0;0
282;0.09356717;1;0
283;0.5640124;0;0
284;0.5640124;1;0
285;1.292768051;0;0
286;1.292768051;1;0
287;1.899355176;0;0
288;1.899355176;1;0
289;0.675639208;0;0
290;0.675639208;1;0
291;1.891307692;0;0
292;1.891307692;1;0
293;0.142570835;0;0
294;0.142570835;1;0
295;2.387904592;0;0
296;2.387904592;1;0
297;1.726917834;0;0
298;1.726917834;1;0
299;0.823179351;0;0
300;0.823179351;1;0
301;0.880783627;0;0
302;0.880783627;1;0
303;1.135949775;0;0
304;1.135949775;1;0
305;1.121675198;0;0
306;1.121675198;1;0
307;0.703593085;0;0
308;0.703593085;1;0
309;0.269307224;0;0
310;0.269307224;1;0
311;1.207035056;0;0
312;1.207035056;1;0
313;2.16377364;0;0
314;2.16377364;1;0
315;1.86503415;0;0
316;1.86503415;1;0
317;1.448910859;0;0
318;1.448910859;1;0
319;0.279690595;0;0
320;0.279690595;1;0
321;0.654271487;0;0
322;0.654271487;1;0
323;2.481488563;0;0
324;2.481488563;1;0
325;1.161077787;0;0
326;1.161077787;1;0
327;1.992124039;0;0
328;1.992124039;1;0
329;2.342454834;0;0
330;2.342454834;1;0
331;0.278629554;0;0
332;0.278629554;1;0
333;2.114904308;0;0
334;2.114904308;1;0
335;1.894160616;0;0
336;1.894160616;1;0
337;1.727567495;0;0
338;1.727567495;1;0
339;0.4985203;0;0
340;0.4985203;1;0
341;1.840160266;0;0
342;1.840160266;1;0
343;2.372792147;0;0
344;2.372792147;1;0
345;2.183467496;0;0
346;2.183467496;1;0
347;1.5448608;0;0
348;1.5448608;1;0
349;2.258809775;0;0
350;2.258809775;1;0
351;1.623431217;0;0
352;1.623431217;1;0
353;0.244001845;0;0
354;0.244001845;1;0
355;0.960267437;0;0
356;0.960267437;1;0
357;0.434096157;0;0
358;0.434096157;1;0
359;1.379553724;0;0
360;1.379553724;1;0
361;0.982065096;0;0
362;0.982065096;1;0
363;2.229817365;0;0
364;2.229817365;1;0
365;2.042996837;0;0
366;2.042996837;1;0
367;0.911629676;0;0
368;0.911629676;1;0
369;0.214138819;0;0
370;0.214138819;1;0
371;1.793417285;0;0
372;1.793417285;1;0
373;1.893330379;0;0
374;1.893330379;1;0
375;0.128747331;0;0
376;0.128747331;1;0
377;0.462317835;0;0
378;0.462317835;1;0
379;0.068414379;0;0
380;0.068414379;1;0
381;2.021973047;0;0
382;2.021973047;1;0
383;0.659750451;0;0
384;0.659750451;1;0
385;1.435392599;0;0
386;1.435392599;1;0
387;1.247980002;0;0
388;1.247980002;1;0
389;0.938563214;0;0
390;0.938563214;1;0
391;1.984811255;0;0
392;1.984811255;1;0
393;0.987005306;0;0
394;0.987005306;1;0
395;0.311270227;0;0
396;0.311270227;1;0
397;1.61527789;0;0
398;1.61527789;1;0
399;0.240700856;0;0
400;0.240700856;1;0
401;1.035360192;0;0
402;1.035360192;1;0
403;0.104238997;0;0
404;0.104238997;1;0
405;0.648717879;0;0
406;0.648717879;1;0
407;2.061651287;0;0
408;2.061651287;1;0
409;0.011567805;0;0
410;0.011567805;1;0
411;2.017320329;0;0
412;2.017320329;1;0
413;2.068370226;0;0
414;2.068370226;1;0
415;0.645333485;0;0
416;0.645333485;1;0
417;2.358722179;0;0
418;2.358722179;1;0
419;1.646068619;0;0
420;1.646068619;1;0
421;1.920739557;0;0
422;1.920739557;1;0
